iphone,gen,pro,plus,storage,color,price,cellular,unlocked,model,gsm,title,url
"iphone","7","","","32gb","black","129.00","","unlocked","a1778","gsm","apple iphone 7   32gb   black (unlocked) a1778 (gsm)","https://www.ebay.com/itm/apple-iphone-7-32gb-black-unlocked-a1778-gsm/324133923309?hash=item4b77e329ed:g:uwqaaoswrcxbdmah"
"iphone","7","","","128gb","black","154.99","at&t","unlocked","","","apple iphone 7   128gb   black   unlocked   at&t / t mobile   smartphone","https://www.ebay.com/itm/apple-iphone-7-128gb-black-unlocked-at-t-t-mobile-smartphone/142847567878?hash=item214260e806:g:q8saaoswvunc7apk"
"iphone","8","","","64gb","black","250.00","at&t","unlocked","","","apple iphone 8   64gb   black  (at&t t mobile) a stock unlocked","https://www.ebay.com/itm/apple-iphone-8-64gb-black-at-t-t-mobile-a-stock-unlocked/193194892571?hash=item2cfb501d1b:g:wowaaosw1v5dsegj"
"iphone","8","","plus","64gb","silver","239.99","","unlocked","a1864","gsm","apple iphone 8 plus   64gb   silver (unlocked) a1864 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-8-plus-64gb-silver-unlocked-a1864-cdma-gsm/184260287406?hash=item2ae6c4dbae:g:feiaaoswieveimns"
"iphone","8","","","64gb","silver","194.99","at&t","unlocked","","gsm","apple iphone 8   64gb   silver gsm unlocked at&t t mobile","https://www.ebay.com/itm/apple-iphone-8-64gb-silver-gsm-unlocked-at-t-t-mobile/184260294839?hash=item2ae6c4f8b7:g:t2iaaoswtyxega0j"
"iphone","x","","","64gb","silver","400.00","","unlocked","","","apple iphone x   64gb   silver unlocked a stock","https://www.ebay.com/itm/apple-iphone-x-64gb-silver-unlocked-a-stock/193305241424?hash=item2d01e3e750:g:sw4aaoswx~9ddse~"
"iphone","xs","","max","64gb","gold","529.99","","unlocked","","","apple iphone xs max   64gb   gold  ( factory unlocked) a stock","https://www.ebay.com/itm/apple-iphone-xs-max-64gb-gold-factory-unlocked-a-stock/184255342470?hash=item2ae6796786:g:zl0aaosw1kxefrw4"
"iphone","x","","","64gb","black","400.00","verizon","unlocked","","","apple iphone x   64gb   black verizon unlocked a stock","https://www.ebay.com/itm/apple-iphone-x-64gb-black-verizon-unlocked-a-stock/193346449875?hash=item2d0458b1d3:g:sw4aaoswx~9ddse~"
"iphone","8","","","64gb","gray","295.00","","unlocked","a1905","a1905","apple iphone 8   64gb   space gray (unlocked) a1905 excellent condition","https://www.ebay.com/itm/apple-iphone-8-64gb-space-gray-unlocked-a1905-excellent-condition/202970031114?hash=item2f41f4e40a:g:uteaaoswmqjenmrr"
"iphone","7","","","256gb","gold","177.98","at&t","unlocked","","","mint   unlocked apple iphone 7   256gb   rose gold at&t t mobile smartphone","https://www.ebay.com/itm/mint-unlocked-apple-iphone-7-256gb-rose-gold-at-t-t-mobile-smartphone/283853353743?hash=item4216fa730f:g:ctcaaoswa5reiiqp"
"iphone","7","","","32gb","gold","137.95","","unlocked","","","apple iphone 7    32gb   rose gold   unlocked   smartphone","https://www.ebay.com/itm/apple-iphone-7-32gb-rose-gold-unlocked-smartphone/142769865349?hash=item213dbf4285:g:gfyaaoswoblc7aox"
"iphone","x","","","64gb","gray","449.99","at&t","unlocked","","gsm","apple iphone x 64gb space gray t mobile at&t metro gsm unlocked smartphone","https://www.ebay.com/itm/apple-iphone-x-64gb-space-gray-t-mobile-at-t-metro-gsm-unlocked-smartphone/333421248160?hash=item4da1747ea0:g:a6iaaoswnblexpo9"
"iphone","7","","","32gb","black","109.99","at&t","","","","apple iphone 7   32gb  black  (at&t cricket net10 h20) b stock","https://www.ebay.com/itm/apple-iphone-7-32gb-black-at-t-cricket-net10-h20-b-stock/184259573941?hash=item2ae6b9f8b5:g:wdcaaoswbejdjdes"
"iphone","7","","","32gb","black","150.00","verizon","","a1660","gsm","apple iphone 7   32gb   jet black (verizon) a1660 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-7-32gb-jet-black-verizon-a1660-cdma-gsm/233564868926?hash=item36618d113e:g:vnyaaoswo~denpdx"
"iphone","7","","","32gb","gold","124.99","","unlocked","a1660","a1660","apple iphone 7 32gb factory unlocked   rose gold smartphone a1660 32 gb ios","https://www.ebay.com/itm/apple-iphone-7-32gb-factory-unlocked-rose-gold-smartphone-a1660-32-gb-ios/253201511980?hash=item3af3fc762c:g:id4aaoswvopdfk2i"
"iphone","7","","","32gb","black","152.99","verizon","unlocked","","","apple iphone 7 32gb matte black verizon unlocked good condition","https://www.ebay.com/itm/apple-iphone-7-32gb-matte-black-verizon-unlocked-good-condition/283116884140?hash=item41eb14d0ac:g:tzgaaoswsw9ywdvx"
"iphone","7","","","128gb","gold","152.00","","unlocked","a1778","gsm","apple iphone 7   128gb   gold (unlocked) a1778 (gsm)","https://www.ebay.com/itm/apple-iphone-7-128gb-gold-unlocked-a1778-gsm/264705499876?hash=item3da1ad62e4:g:-baaaosws6tem8dj"
"iphone","7","","plus","32gb","gold","159.00","","","","","apple iphone 7 plus   32gb   rose gold t mobile","https://www.ebay.com/itm/apple-iphone-7-plus-32gb-rose-gold-t-mobile/164167243075?hash=item2639215543:g:atwaaosw~qvetxbf"
"iphone","x","","","64gb","silver","369.99","at&t","unlocked","","","apple iphone x   64gb   silver (unlocked) at&t t mobile verizon","https://www.ebay.com/itm/apple-iphone-x-64gb-silver-unlocked-at-t-t-mobile-verizon/184260235700?hash=item2ae6c411b4:g:hfgaaoswyvjek7m7"
"iphone","8","","plus","64gb","gold","369.99","at&t","unlocked","","gsm","new apple iphone 8 plus   64gb   gold (at&t) factory unlocked! any gsm!","https://www.ebay.com/itm/new-apple-iphone-8-plus-64gb-gold-at-t-factory-unlocked-any-gsm/132864937565?hash=item1eef5e0e5d:g:mfcaaoswpftb9f4c"
"iphone","x","","","64gb","black","370.00","","unlocked","","","apple iphone x   64gb   black unlocked b stock","https://www.ebay.com/itm/apple-iphone-x-64gb-black-unlocked-b-stock/184141442755?hash=item2adfaf6ec3:g:sw4aaoswx~9ddse~"
"iphone","8","","","64gb","black","270.00","verizon","unlocked","","gsm","apple iphone 8   64gb   black verizon (gsm/cdma unlocked ) a stock","https://www.ebay.com/itm/apple-iphone-8-64gb-black-verizon-gsm-cdma-unlocked-a-stock/193364714080?hash=item2d056f6260:g:wowaaosw1v5dsegj"
"iphone","7","","","32gb","black","249.98","verizon","unlocked","a1660","gsm","apple iphone 7   32gb   black (factory unlocked) verizon a1660 (gsm + cdma)","https://www.ebay.com/itm/apple-iphone-7-32gb-black-factory-unlocked-verizon-a1660-gsm-cdma/254574243660?hash=item3b45ceaf4c:g:niwaaoswpz1ei~b7"
"iphone","8","","plus","64gb","silver","360.00","at&t","","a1897","gsm","apple iphone 8 plus   64gb   silver (at&t) a1897 (gsm)","https://www.ebay.com/itm/apple-iphone-8-plus-64gb-silver-at-t-a1897-gsm/274342030504?hash=item3fe00f2ca8:g:cqeaaoswq~9ennft"
"iphone","8","","","64gb","gray","324.99","at&t","","a1905","gsm","new sealed apple iphone 8   64gb   space gray (at&t) a1905 (gsm) *free shipping*","https://www.ebay.com/itm/new-sealed-apple-iphone-8-64gb-space-gray-at-t-a1905-gsm-free-shipping/174026145392?hash=item2884c43e70:g:lngaaoswbq1dp0oj"
"iphone","x","","","64gb","black","380.00","at&t","","a1984","a1984","apple iphone x   64gb   black (at&t) cricket h20 net10  a1984 a stock","https://www.ebay.com/itm/apple-iphone-x-64gb-black-at-t-cricket-h20-net10-a1984-a-stock/184153401041?hash=item2ae065e6d1:g:sw4aaoswx~9ddse~"
"iphone","8","","","64gb","gray","269.95","at&t","unlocked","a1905","gsm","new apple iphone 8   64gb   space gray (unlocked) a1905 (gsm) at&t  t mobile","https://www.ebay.com/itm/new-apple-iphone-8-64gb-space-gray-unlocked-a1905-gsm-at-t-t-mobile/264668343666?hash=item3d9f766d72:g:tuaaaoswhgdebmpo"
"iphone","8","","","64gb","silver","209.99","verizon","unlocked","a1863","gsm","apple iphone 8   64gb   silver (verizon unlocked) a1863 (cdma + gsm)   64 gb","https://www.ebay.com/itm/apple-iphone-8-64gb-silver-verizon-unlocked-a1863-cdma-gsm-64-gb/233495062722?hash=item365d63e8c2:g:iqwaaoswg~rersqw"
"iphone","7","","","32gb","black","128.98","verizon","unlocked","matte black unlocked verizon mnac2ll/a","","apple iphone 7 32gb matte black unlocked verizon mnac2ll/a no sim cb338","https://www.ebay.com/itm/apple-iphone-7-32gb-matte-black-unlocked-verizon-mnac2ll-a-no-sim-cb338/274272705756?hash=item3fdbed5cdc:g:osiaaoswgvfesecm"
"iphone","7","","","32gb","black","179.95","at&t","unlocked","a1778","gsm","new apple iphone 7   32gb   black (unlocked) a1778 (gsm) at&t  t mobile","https://www.ebay.com/itm/new-apple-iphone-7-32gb-black-unlocked-a1778-gsm-at-t-t-mobile/264668234457?hash=item3d9f74c2d9:g:id4aaoswvpbeblbd"
"iphone","7","","","32gb","black","209.99","sprint","","matte black 32gb sprint 4g lte mnay2ll/a","","new in box sealed apple iphone 7 matte black 32gb sprint 4g lte mnay2ll/a cell","https://www.ebay.com/itm/new-in-box-sealed-apple-iphone-7-matte-black-32gb-sprint-4g-lte-mnay2ll-a-cell/184206508874?hash=item2ae390434a:g:3mcaaosw-x9dfmf5"
"iphone","7","","plus","128gb","black","315.00","","unlocked","","","apple iphone 7 plus   128gb  black (unlocked)","https://www.ebay.com/itm/apple-iphone-7-plus-128gb-black-unlocked/274341963145?hash=item3fe00e2589:g:c~gaaoswqutenlzs"
"iphone","8","","","64gb","gray","199.99","lte","unlocked","a1863","a1863","apple iphone 8 64gb factory unlocked   space gray smartphone a1863 4k 64 gb lte","https://www.ebay.com/itm/apple-iphone-8-64gb-factory-unlocked-space-gray-smartphone-a1863-4k-64-gb-lte/274279959060?hash=item3fdc5c0a14:g:ddyaaoswjjxetvic"
"iphone","x","","","64gb","black","400.00","at&t","unlocked","","","apple iphone x   64gb   black  t mobile at&t unlocked a stock","https://www.ebay.com/itm/apple-iphone-x-64gb-black-t-mobile-at-t-unlocked-a-stock/184133118465?hash=item2adf306a01:g:sw4aaoswx~9ddse~"
"iphone","7","","","32gb","gold","115.00","at&t","unlocked","","","apple iphone 7    32gb  rose gold (at&t t mobile) grade b  unlocked","https://www.ebay.com/itm/apple-iphone-7-32gb-rose-gold-at-t-t-mobile-grade-b-unlocked/283831383151?hash=item4215ab346f:g:tzyaaoswvbhcs1zz"
"iphone","black","","","64gb","black","479.95","","unlocked","","","apple iphone black xr 64gb unlocked smartphone","https://www.ebay.com/itm/apple-iphone-black-xr-64gb-unlocked-smartphone/143585052907?hash=item216e5608eb:g:swoaaoswit5enmn4"
"iphone","7","","","128gb","gold","154.99","","unlocked","","","apple iphone 7   128gb   rose gold   unlocked   smartphone","https://www.ebay.com/itm/apple-iphone-7-128gb-rose-gold-unlocked-smartphone/142880325289?hash=item214454bea9:g:cwmaaoswghzc7aqh"
"iphone","8","","plus","64gb","gold","525.00","","unlocked","","","apple iphone 8 plus   64gb   gold (factory unlocked) brand new sealed box","https://www.ebay.com/itm/apple-iphone-8-plus-64gb-gold-factory-unlocked-brand-new-sealed-box/114192735943?hash=item1a966adec7:g:waoaaoswfk5enm3z"
"iphone","x","","","64gb","black","359.99","verizon","unlocked","","","apple iphone x   64gb   black verizon unlocked b stock","https://www.ebay.com/itm/apple-iphone-x-64gb-black-verizon-unlocked-b-stock/184172052095?hash=item2ae1827e7f:g:sw4aaoswx~9ddse~"
"iphone","8","","","64gb","black","169.99","at&t","","","","apple iphone 8   64gb   black  (at&t cricket net10 h20) c  stock","https://www.ebay.com/itm/apple-iphone-8-64gb-black-at-t-cricket-net10-h20-c-stock/174146961421?hash=item288bf7c00d:g:wowaaosw1v5dsegj"
"iphone","x","","","64gb","gray","429.99","verizon","unlocked","a1865","gsm","apple iphone x   64gb   space gray (verizon unlocked) a1865 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-x-64gb-space-gray-verizon-unlocked-a1865-cdma-gsm/153901336502?hash=item23d53c07b6:g:jfiaaoswkbtemied"
"iphone","7","","","128gb","black","137.99","","unlocked","","","apple iphone 7 128gb matte black domestic unlocked good condition","https://www.ebay.com/itm/apple-iphone-7-128gb-matte-black-domestic-unlocked-good-condition/293518019371?hash=item4457098b2b:g:u9aaaoswbptec-sk"
"iphone","6s","","plus","16gb","gray","147.99","","unlocked","","","apple iphone 6s plus   16gb   gray   unlocked   smartphone","https://www.ebay.com/itm/apple-iphone-6s-plus-16gb-gray-unlocked-smartphone/112899026456?hash=item1a494e6e18:g:j1waaoswk9xealv-"
"iphone","7","","","256gb","gold","119.95","4g","unlocked","","gsm","apple iphone 7 256gb unlocked gsm 4g lte phone   rose gold (dents/scratches)","https://www.ebay.com/itm/apple-iphone-7-256gb-unlocked-gsm-4g-lte-phone-rose-gold-dents-scratches/392712712559?hash=item5b6f80716f:g:ey0aaoswakzexsrh"
"iphone","7","","","32gb","black","119.95","at&t","","","","apple iphone 7   32gb   black (at&t/cricket/straight talk) great! 4g lte!","https://www.ebay.com/itm/apple-iphone-7-32gb-black-at-t-cricket-straight-talk-great-4g-lte/124156164587?hash=item1ce848b9eb:g:r9saaosw-rfceeam"
"iphone","8","","","64gb","gray","199.00","","","","","apple iphone 8   64gb   gray (boost mobile)   manufacturer  refurbished","https://www.ebay.com/itm/apple-iphone-8-64gb-gray-boost-mobile-manufacturer-refurbished/164157776338?hash=item263890e1d2:g:q2yaaoswunzeflqw"
"iphone","8","","","other","gray","322.99","","","","","new apple iphone 8 256 gb gray grey att & t mobile","https://www.ebay.com/itm/new-apple-iphone-8-256-gb-gray-grey-att-t-mobile/303325342365?hash=item469f996a9d:g:x~waaoswld9djgv-"
"iphone","8","","plus","64gb","black","329.90","","unlocked","a1864","gsm","apple iphone 8 plus   64gb   black (unlocked) a1864 (cdma + gsm) a stock","https://www.ebay.com/itm/apple-iphone-8-plus-64gb-black-unlocked-a1864-cdma-gsm-a-stock/193047462428?hash=item2cf286821c:g:hywaaoswtyjdu0zq"
"iphone","7","","","32gb","black","110.00","at&t","","","","apple iphone 7   32gb  black  (at&t cricket net10 h20) 7/10","https://www.ebay.com/itm/apple-iphone-7-32gb-black-at-t-cricket-net10-h20-7-10/193287880021?hash=item2d00dafd55:g:wdcaaoswbejdjdes"
"iphone","7","","","32gb","black","149.00","4g","","mx8y2ll/a","a1660","apple iphone 7 black 32gb t mobile 4g lte a1660 mx8y2ll/a","https://www.ebay.com/itm/apple-iphone-7-black-32gb-t-mobile-4g-lte-a1660-mx8y2ll-a/143482603891?hash=item21683ac973:g:r70aaoswubdea3kz"
"iphone","xs","","","512gb","gray","569.99","verizon","unlocked","","","apple iphone xs 512gb space gray verizon t mobile at&t unlocked smartphone","https://www.ebay.com/itm/apple-iphone-xs-512gb-space-gray-verizon-t-mobile-at-t-unlocked-smartphone/352863713861?hash=item522850fa45:g:hmyaaoswy11enhrn"
"iphone","7","","plus","128gb","black","224.99","at&t","unlocked","","gsm","apple iphone 7 plus 128gb jet black t mobile at&t metro gsm unlocked smartphone","https://www.ebay.com/itm/apple-iphone-7-plus-128gb-jet-black-t-mobile-at-t-metro-gsm-unlocked-smartphone/352996393147?hash=item52303980bb:g:7~iaaoswqj1ed5y8"
"iphone","7","","","32gb","gold","122.99","","unlocked","a1660","gsm","apple iphone 7   32gb   rose gold (unlocked) a1660 (cdma + gsm) very good","https://www.ebay.com/itm/apple-iphone-7-32gb-rose-gold-unlocked-a1660-cdma-gsm-very-good/402106364553?hash=item5d9f683289:g:pswaaoswtoletaof"
"iphone","7","","","32gb","black","169.99","","","","","brand new sealed apple iphone 7 32gb black metropcs ships next day priority","https://www.ebay.com/itm/brand-new-sealed-apple-iphone-7-32gb-black-metropcs-ships-next-day-priority/163889179206?hash=item26288e6a46:g:~okaaosw4ipemjyz"
"iphone","8","","plus","64gb","gray","350.00","","unlocked","","","apple iphone 8 plus   64gb   space gray (unlocked)","https://www.ebay.com/itm/apple-iphone-8-plus-64gb-space-gray-unlocked/264705498240?hash=item3da1ad5c80:g:yfoaaoswz8bennfw"
"iphone","7","","","128gb","black","180.31","","unlocked","a1660","gsm","apple iphone 7 a1660 128gb black! good condition! gsm unlocked device!","https://www.ebay.com/itm/apple-iphone-7-a1660-128gb-black-good-condition-gsm-unlocked-device/193341439416?hash=item2d040c3db8:g:2ccaaoswrqxeq3z-"
"iphone","7","","","32gb","silver","85.00","","","a1660","gsm","apple iphone 7   32gb   silver (straight talk) a1660 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-7-32gb-silver-straight-talk-a1660-cdma-gsm/283853384421?hash=item4216faeae5:g:vnoaaoswcklejjd6"
"iphone","8","","","64gb","gray","316.99","verizon","","","","apple iphone 8 64gb space gray verizon locked   brand new","https://www.ebay.com/itm/apple-iphone-8-64gb-space-gray-verizon-locked-brand-new/293550466175?hash=item4458f8a47f:g:azwaaoswvvzemius"
"iphone","xr","","","64gb","black","369.99","","unlocked","a1984","gsm","apple iphone xr   64gb   black (unlocked) a1984 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-xr-64gb-black-unlocked-a1984-cdma-gsm/184260238623?hash=item2ae6c41d1f:g:qdqaaoswabjenoau"
"iphone","7","","plus","128gb","black","245.00","sprint","unlocked","","","apple iphone 7 plus black 128gb sprint unlocked  with box","https://www.ebay.com/itm/apple-iphone-7-plus-black-128gb-sprint-unlocked-with-box/164167112400?hash=item26391f56d0:g:rggaaoswgq1ek2s5"
"iphone","x","","","64gb","silver","544.99","","unlocked","","gsm","apple iphone x   64gb   silver (factory gsm unlocked)   new","https://www.ebay.com/itm/apple-iphone-x-64gb-silver-factory-gsm-unlocked-new/223938513051?hash=item3423c6889b:g:wacaaoswor9ae~no"
"iphone","8","","","64gb","gray","250.00","verizon","","","","apple iphone 8   64gb   space gray (verizon)","https://www.ebay.com/itm/apple-iphone-8-64gb-space-gray-verizon/114192775952?hash=item1a966b7b10:g:8buaaosw0yjenozi"
"iphone","6s","","plus","32gb","","135.99","","","","","iphone 6s plus 32gb","https://www.ebay.com/itm/iphone-6s-plus-32gb/133391062259?hash=item1f0eba14f3:g:fxaaaoswduvennx8"
"iphone","x","","","64gb","silver","369.99","","unlocked","a1865","gsm","apple iphone x   64gb   silver (unlocked) a1865 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-x-64gb-silver-unlocked-a1865-cdma-gsm/184260233544?hash=item2ae6c40948:g:hfgaaoswyvjek7m7"
"iphone","x","","","256gb","gray","419.00","","","","","apple iphone x  256gb space gray att network only.. clean!","https://www.ebay.com/itm/apple-iphone-x-256gb-space-gray-att-network-only-clean/283853392260?hash=item4216fb0984:g:c2uaaoswnajenphu"
"iphone","7","","","32gb","black","140.00","","unlocked","","","apple iphone 7   32gb   matte black (unlocked) smartphone   excellent 9/10","https://www.ebay.com/itm/apple-iphone-7-32gb-matte-black-unlocked-smartphone-excellent-9-10/233484626947?hash=item365cc4ac03:g:heyaaoswocfeofoz"
"iphone","xr","","","64gb","black","469.99","at&t","","mt3k2ll/a","a1984","apple iphone xr 64gb   black (at&t) 4g lte a1984 mt3k2ll/a","https://www.ebay.com/itm/apple-iphone-xr-64gb-black-at-t-4g-lte-a1984-mt3k2ll-a/143498959534?hash=item2169345aae:g:ejmaaoswffvegiz6"
"iphone","8","","","64gb","silver","199.00","","","","","apple iphone 8   64gb   silver  (boost mobile)   manufacturer  refurbished","https://www.ebay.com/itm/apple-iphone-8-64gb-silver-boost-mobile-manufacturer-refurbished/164167201799?hash=item263920b407:g:zg4aaoswzg9etabj"
"iphone","8","","","64gb","gold","219.99","","unlocked","","","apple iphone 8   64gb   gold (t mobile) factory unlocked! excellent!","https://www.ebay.com/itm/apple-iphone-8-64gb-gold-t-mobile-factory-unlocked-excellent/143035715883?hash=item214d97d12b:g:sgoaaosw6jjcfacq"
"iphone","xs","","","256gb","gray","654.99","","unlocked","","gsm","apple iphone xs   256gb   space gray (factory unlocked) (cdma + gsm)   new","https://www.ebay.com/itm/apple-iphone-xs-256gb-space-gray-factory-unlocked-cdma-gsm-new/223777244373?hash=item341a29c4d5:g:mzyaaoswqlzee56-"
"iphone","x","","","64gb","black","400.00","","unlocked","","","apple iphone x   64gb   black unlocked very good","https://www.ebay.com/itm/apple-iphone-x-64gb-black-unlocked-very-good/193348207730?hash=item2d04738472:g:sw4aaoswx~9ddse~"
"iphone","7","","","32gb","black","160.00","at&t","unlocked","","","apple iphone 7   32gb  black  (at&t cricket net10 h20) a stock unlocked","https://www.ebay.com/itm/apple-iphone-7-32gb-black-at-t-cricket-net10-h20-a-stock-unlocked/174226806260?hash=item2890ba15f4:g:wdcaaoswbejdjdes"
"iphone","8","","","64gb","gold","199.99","at&t","unlocked","","","apple iphone 8   64gb   gold (at&t t mobile ) c stock unlocked","https://www.ebay.com/itm/apple-iphone-8-64gb-gold-at-t-t-mobile-c-stock-unlocked/193287723930?hash=item2d00d89b9a:g:wowaaosw1v5dsegj"
"iphone","7","","plus","128gb","gold","265.99","","unlocked","","","apple iphone 7 plus 128gb gold unlocked good condition","https://www.ebay.com/itm/apple-iphone-7-plus-128gb-gold-unlocked-good-condition/282848606868?hash=item41db173a94:g:yfmaaoswk3rbrolg"
"iphone","7","","","32gb","silver","129.95","at&t","","","","apple iphone 7   32gb   silver (at&t/cricket/straight talk) good condition!","https://www.ebay.com/itm/apple-iphone-7-32gb-silver-at-t-cricket-straight-talk-good-condition/303539937547?hash=item46ac63e10b:g:pgmaaoswrj9epcvl"
"iphone","x","","","256gb","gray","494.99","verizon","unlocked","","","apple iphone x 256gb space gray verizon unlocked very good condition","https://www.ebay.com/itm/apple-iphone-x-256gb-space-gray-verizon-unlocked-very-good-condition/273068219500?hash=item3f94225c6c:g:opsaaoswxudbrpzn"
"iphone","x","","","256gb","gray","436.00","verizon","","a1865","gsm","apple iphone x   256gb   space gray (verizon) a1865 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-x-256gb-space-gray-verizon-a1865-cdma-gsm/264705456959?hash=item3da1acbb3f:g:rwwaaoswnklenl6z"
"iphone","7","","","32gb","","100.00","","","a1660","a1660","apple iphone 7  32gb locked a1660 in great condition","https://www.ebay.com/itm/apple-iphone-7-32gb-locked-a1660-in-great-condition/293497304908?hash=item4455cd774c:g:ii8aaosw~exew~-h"
"iphone","se","","","32gb","gray","106.71","","unlocked","a1662","gsm","apple iphone se   32gb   space gray (unlocked) a1662 (cdma + gsm)","https://www.ebay.com/itm/apple-iphone-se-32gb-space-gray-unlocked-a1662-cdma-gsm/383411463227?hash=item59451aa43b:g:k7uaaoswhu9eperv"
"iphone","7","","","32gb","gold","120.00","","","","","apple iphone 7   32gb   rose gold (t mobile metropcs simple mobile) c stock","https://www.ebay.com/itm/apple-iphone-7-32gb-rose-gold-t-mobile-metropcs-simple-mobile-c-stock/184101328809?hash=item2add4b57a9:g:wdcaaoswbejdjdes"
"iphone","6s","","","32gb","gray","209.99","sprint","unlocked","a1688","gsm","new apple iphone 6s   32gb space gray (sprint) a1688 (cdma + gsm) unlocked","https://www.ebay.com/itm/new-apple-iphone-6s-32gb-space-gray-sprint-a1688-cdma-gsm-unlocked/233493602147?hash=item365d4d9f63:g:ragaaoswkyldwxoq"
"iphone","7","","plus","128gb","gold","239.99","at&t","unlocked","","gsm","apple iphone 7 plus   128gb   rose gold at&t factory unlocked gsm","https://www.ebay.com/itm/apple-iphone-7-plus-128gb-rose-gold-at-t-factory-unlocked-gsm/193395300747?hash=item2d0742198b:g:phyaaosw791eeom~"
"iphone","xr","","","64gb","","499.99","verizon","unlocked","","","apple iphone xr 64gb coral verizon t mobile at&t fully unlocked smartphone","https://www.ebay.com/itm/apple-iphone-xr-64gb-coral-verizon-t-mobile-at-t-fully-unlocked-smartphone/233457402013?hash=item365b25409d:g:gauaaoswcw1eg1kb"
"iphone","7","","","128gb","black","130.00","at&t","","a1778","gsm","apple iphone 7   128gb   black (at&t) a1778 (gsm)","https://www.ebay.com/itm/apple-iphone-7-128gb-black-at-t-a1778-gsm/283744115666?hash=item4210779bd2:g:amyaaosw7pnehmm0"
"iphone","7","","","32gb","black","109.99","","","a1778","gsm","apple iphone 7   32gb   black (t mobile) a1778 (gsm)","https://www.ebay.com/itm/apple-iphone-7-32gb-black-t-mobile-a1778-gsm/193381198826?hash=item2d066aebea:g:bzoaaoswclfesuhl"
"iphone","x","","","64gb","gray","449.99","verizon","unlocked","","","apple iphone x 64gb space gray verizon t mobile at&t fully unlocked smartphone","https://www.ebay.com/itm/apple-iphone-x-64gb-space-gray-verizon-t-mobile-at-t-fully-unlocked-smartphone/352527836323?hash=item52144be4a3:g:uasaaosw07jecjlf"
